Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
DA3,0.7,6.02e-03,9.44e-03,16800,-0.20,11.9,-1.60,10.30,179197255
DA4,0.6,1.82e-03,9.22e-03,12600,-0.13,12.5,-0.90,11.60,192207255
DA5,0.5,6.93e-04,8.90e-03,10080,-0.07,13.1,-0.45,12.65,207218255
DA6,0.4,3.15e-04,8.64e-03,8400,0.09,13.7,-0.20,13.50,224230255
DA7,0.3,1.80e-04,8.89e-03,7200,0.34,14.2,-0.09,14.11,243243255
DA8,0.2,1.05e-04,8.87e-03,6300,0.55,14.8,-0.10,14.70,255247245
DA9,0.1,6.73e-05,8.98e-03,5600,0.74,15.4,-0.22,15.18,255239225
DB0,1.1,6.91e+00,9.02e-03,100000,-0.37,10.2,-7.55,2.65,155178255
DB1,0.9,2.65e-01,6.96e-03,50400,-0.35,10.8,-4.61,6.19,159181255
DB2,0.8,2.55e-02,8.64e-03,25200,-0.27,11.4,-2.67,8.73,168189255
DB3,0.7,6.02e-03,9.44e-03,16800,-0.20,11.9,-1.60,10.30,179197255
DB4,0.6,1.82e-03,9.22e-03,12600,-0.13,12.5,-0.90,11.60,192207255
DB5,0.5,6.93e-04,8.90e-03,10080,-0.07,13.1,-0.45,12.65,207218255
DB6,0.4,3.15e-04,8.64e-03,8400,0.09,13.7,-0.20,13.50,224230255
DB7,0.3,1.80e-04,8.89e-03,7200,0.34,14.2,-0.09,14.11,243243255
DB8,0.2,1.05e-04,8.87e-03,6300,0.55,14.8,-0.10,14.70,255247245
DB9,0.1,6.73e-05,8.98e-03,5600,0.74,15.4,-0.22,15.18,255239225
DC0,1.1,6.91e+00,9.02e-03,100000,-0.37,10.2,-7.55,2.65,155178255
DC1,0.9,2.65e-01,6.96e-03,50400,-0.35,10.8,-4.61,6.19,159181255
DC2,0.8,2.55e-02,8.64e-03,25200,-0.27,11.4,-2.67,8.73,168189255
DC3,0.7,6.02e-03,9.44e-03,16800,-0.20,11.9,-1.60,10.30,179197255
DC4,0.6,1.82e-03,9.22e-03,12600,-0.13,12.5,-0.90,11.60,192207255
DC5,0.5,6.93e-04,8.90e-03,10080,-0.07,13.1,-0.45,12.65,207218255
DC6,0.4,3.15e-04,8.64e-03,8400,0.09,13.7,-0.20,13.50,224230255
DC7,0.3,1.80e-04,8.89e-03,7200,0.34,14.2,-0.09,14.11,243243255
DC8,0.2,1.05e-04,8.87e-03,6300,0.55,14.8,-0.10,14.70,255247245
DC9,0.1,6.73e-05,8.98e-03,5600,0.74,15.4,-0.22,15.18,255239225
DO0,1.1,6.91e+00,9.02e-03,100000,-0.37,10.2,-7.55,2.65,155178255
DO1,0.9,2.65e-01,6.96e-03,50400,-0.35,10.8,-4.61,6.19,159181255
DO2,0.8,2.55e-02,8.64e-03,25200,-0.27,11.4,-2.67,8.73,168189255
DO3,0.7,6.02e-03,9.44e-03,16800,-0.20,11.9,-1.60,10.30,179197255
DO4,0.6,1.82e-03,9.22e-03,12600,-0.13,12.5,-0.90,11.60,192207255
DO5,0.5,6.93e-04,8.90e-03,10080,-0.07,13.1,-0.45,12.65,207218255
DO6,0.4,3.15e-04,8.64e-03,8400,0.09,13.7,-0.20,13.50,224230255
DO7,0.3,1.80e-04,8.89e-03,7200,0.34,14.2,-0.09,14.11,243243255
DO8,0.2,1.05e-04,8.87e-03,6300,0.55,14.8,-0.10,14.70,255247245
DO9,0.1,6.73e-05,8.98e-03,5600,0.74,15.4,-0.22,15.18,255239225
DQ0,1.1,6.91e+00,9.02e-03,100000,-0.37,10.2,-7.55,2.65,155178255
DQ1,0.9,2.65e-01,6.96e-03,50400,-0.35,10.8,-4.61,6.19,159181255
DQ2,0.8,2.55e-02,8.64e-03,25200,-0.27,11.4,-2.67,8.73,168189255
DQ3,0.7,6.02e-03,9.44e-03,16800,-0.20,11.9,-1.60,10.30,179197255
DQ4,0.6,1.82e-03,9.22e-03,12600,-0.13,12.5,-0.90,11.60,192207255
DQ5,0.5,6.93e-04,8.90e-03,10080,-0.07,13.1,-0.45,12.65,207218255
DQ6,0.4,3.15e-04,8.64e-03,8400,0.09,13.7,-0.20,13.50,224230255
DQ7,0.3,1.80e-04,8.89e-03,7200,0.34,14.2,-0.09,14.11,243243255
DQ8,0.2,1.05e-04,8.87e-03,6300,0.55,14.8,-0.10,14.70,255247245
DQ9,0.1,6.73e-05,8.98e-03,5600,0.74,15.4,-0.22,15.18,255239225
DZ0,1.1,6.91e+00,9.02e-03,100000,-0.37,10.2,-7.55,2.65,155178255
DZ1,0.9,2.65e-01,6.96e-03,50400,-0.35,10.8,-4.61,6.19,159181255
DZ2,0.8,2.55e-02,8.64e-03,25200,-0.27,11.4,-2.67,8.73,168189255
DZ3,0.7,6.02e-03,9.44e-03,16800,-0.20,11.9,-1.60,10.30,179197255
DZ4,0.6,1.82e-03,9.22e-03,12600,-0.13,12.5,-0.90,11.60,192207255
DZ5,0.5,6.93e-04,8.90e-03,10080,-0.07,13.1,-0.45,12.65,207218255
DZ6,0.4,3.15e-04,8.64e-03,8400,0.09,13.7,-0.20,13.50,224230255
DZ7,0.3,1.80e-04,8.89e-03,7200,0.34,14.2,-0.09,14.11,243243255
DZ8,0.2,1.05e-04,8.87e-03,6300,0.55,14.8,-0.10,14.70,255247245
DZ9,0.1,6.73e-05,8.98e-03,5600,0.74,15.4,-0.22,15.18,255239225
