Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
R4Ia,11.5,1.95e+05,8.44e+02,4238,1.19,-7.5,-0.97,-8.47,255219171
R4Ib,9.4,1.62e+04,2.43e+02,4238,1.19,-4.8,-0.97,-5.77,255219171
R4II,7.2,1.95e+03,8.44e+01,4238,1.19,-2.5,-0.97,-3.47,255223175
R4III,5.1,1.95e+02,2.67e+01,4238,1.19,0.0,-0.97,-0.97,255225188
R4IV,2.9,8.25e+00,4.57e+00,4644,1.04,3.1,-0.64,2.46,255231203
R4V,0.8,5.21e-01,1.15e+00,4644,1.04,6.1,-0.64,5.46,255230203
R4VI,0.6,1.19e-01,5.50e-01,4644,1.04,7.7,-0.64,7.06,255230203
R5Ia0,14.1,1.13e+06,2.14e+03,4130,1.23,-9.3,-1.08,-10.38,255216165
R5Ia,11.9,1.97e+05,8.93e+02,4130,1.23,-7.4,-1.08,-8.48,255216165
R5Ib,9.6,2.16e+04,2.96e+02,4130,1.23,-5.0,-1.08,-6.08,255216165
R5II,7.4,2.16e+03,9.35e+01,4130,1.23,-2.5,-1.08,-3.58,255220167
R5III,5.2,2.59e+02,3.24e+01,4130,1.23,-0.2,-1.08,-1.28,255221177
R5IV,2.9,9.67e+00,5.47e+00,4416,1.12,3.1,-0.81,2.29,255227194
R5V,0.7,4.63e-01,1.20e+00,4416,1.12,6.4,-0.81,5.59,255227196
R5VI,0.5,8.81e-02,5.23e-01,4416,1.12,8.2,-0.81,7.39,255227196
R6Ia0,14.5,1.26e+06,2.39e+03,4023,1.27,-9.3,-1.20,-10.50,255213160
R6Ia,12.2,2.20e+05,9.95e+02,4023,1.27,-7.4,-1.20,-8.60,255213160
R6Ib,9.9,3.18e+04,3.78e+02,4023,1.27,-5.3,-1.20,-6.50,255213160
R6II,7.6,2.41e+03,1.04e+02,4023,1.27,-2.5,-1.20,-3.70,255217158
R6III,5.3,3.18e+02,3.78e+01,4023,1.27,-0.3,-1.20,-1.50,255216166
R6IV,3.0,1.17e+01,6.71e+00,4187,1.21,3.1,-1.02,2.08,255224186
R6V,0.7,4.26e-01,1.28e+00,4187,1.21,6.7,-1.02,5.68,255219182
R6VI,0.4,6.76e-02,5.09e-01,4187,1.21,8.7,-1.02,7.68,255219182
R7Ia0,15.0,1.43e+06,2.68e+03,3915,1.32,-9.3,-1.34,-10.64,255210154
R7Ia,12.6,2.27e+05,1.07e+03,3915,1.32,-7.3,-1.34,-8.64,255210154
R7Ib,10.2,3.94e+04,4.45e+02,3915,1.32,-5.4,-1.34,-6.74,255210154
R7II,7.8,2.99e+03,1.22e+02,3915,1.32,-2.6,-1.34,-3.94,255213150
R7III,5.4,3.94e+02,4.45e+01,3915,1.32,-0.4,-1.34,-1.74,255212154
R7IV,3.0,1.36e+01,8.08e+00,3958,1.30,3.2,-1.28,1.92,255220177
R7V,0.6,2.59e-01,1.12e+00,3958,1.30,7.5,-1.28,6.22,255211168
R7VI,0.4,4.50e-02,4.65e-01,3958,1.30,9.4,-1.28,8.12,255211168
R8Ia0,15.4,1.64e+06,3.03e+03,3808,1.36,-9.3,-1.48,-10.78,255207149
R8Ia,12.9,2.59e+05,1.21e+03,3808,1.36,-7.3,-1.48,-8.78,255207149
R8Ib,10.4,4.50e+04,5.03e+02,3808,1.36,-5.4,-1.48,-6.88,255207149
R8II,8.0,3.42e+03,1.38e+02,3808,1.36,-2.6,-1.48,-4.08,255210141
R8III,5.5,5.41e+02,5.51e+01,3808,1.36,-0.6,-1.48,-2.08,255207143
R8IV,3.0,1.82e+01,1.05e+01,3729,1.39,3.2,-1.60,1.60,255216168
R8V,0.6,1.82e-01,1.05e+00,3729,1.39,8.2,-1.60,6.60,255203153
R8VI,0.3,3.80e-02,4.82e-01,3729,1.39,9.9,-1.60,8.30,255203153
R9Ia0,15.8,1.90e+06,3.46e+03,3700,1.41,-9.3,-1.65,-10.95,255204143
R9Ia,13.3,2.74e+05,1.31e+03,3700,1.41,-7.2,-1.65,-8.85,255204143
R9Ib,10.7,5.73e+04,6.00e+02,3700,1.41,-5.5,-1.65,-7.15,255204143
R9II,8.2,3.96e+03,1.58e+02,3700,1.41,-2.6,-1.65,-4.25,255207133
R9III,5.6,6.89e+02,6.58e+01,3700,1.41,-0.7,-1.65,-2.35,255203132
R9IV,3.1,2.60e+01,1.43e+01,3500,1.49,3.2,-1.99,1.21,255213160
R9V,0.5,1.25e-01,9.90e-01,3500,1.49,9.0,-1.99,7.01,255195139
R9VI,0.2,3.76e-02,5.44e-01,3500,1.49,10.3,-1.99,8.31,255195139
